num,avxp,gpigbc,m5s,rifcom,ucic,ilpp,sel,pd,idv,rpp,comit,lega,ladx,pdl,fdi,nap,udc,tot
1,9,1,29,14,30,49,15,112,3,22,1,2,7,58,15,28,7,402
2,5,6,28,6,36,40,26,104,4,16,1,2,3,35,3,28,4,347
3,2,2,18,11,27,24,7,112,0,12,0,0,2,43,14,35,3,312
4,3,2,42,13,30,31,43,118,8,25,4,3,4,47,12,11,6,402
5,7,4,38,10,32,33,39,142,2,27,3,0,3,62,11,40,5,458
6,1,5,30,12,28,47,26,124,4,22,4,0,1,48,7,8,11,378
7,7,1,31,18,25,46,25,143,6,22,6,1,1,52,9,29,6,428
8,1,4,30,7,43,21,18,188,5,24,6,0,12,45,12,20,5,441
9,5,2,50,14,23,24,30,166,8,26,5,4,13,38,11,17,3,439
10,3,1,25,14,17,8,14,126,9,12,2,0,3,22,3,13,5,277
11,1,0,29,10,36,26,30,151,4,21,4,5,1,43,5,13,7,386
12,6,1,33,8,13,24,9,137,4,17,8,4,3,28,7,11,4,317
13,4,5,50,6,24,36,25,174,4,17,6,3,3,40,11,17,7,432
14,3,0,27,5,7,45,17,112,1,18,4,2,2,53,3,25,0,324
15,13,3,41,12,23,32,27,205,5,24,3,1,6,41,10,27,4,477
16,6,0,32,7,19,22,24,170,6,24,4,1,3,21,4,23,8,374
17,10,2,26,21,9,39,27,140,2,22,8,0,1,29,7,17,6,366
18,8,3,48,6,24,23,13,190,2,19,7,2,7,31,8,15,2,408
19,7,5,66,12,26,24,30,266,2,37,5,0,6,34,11,21,9,561
20,4,1,37,15,15,26,20,241,2,51,8,0,7,42,7,26,6,508
21,7,1,59,5,9,28,27,253,7,33,10,3,11,37,8,23,10,531
22,15,1,20,3,5,6,1,116,0,6,4,1,1,20,2,3,1,205
23,2,2,59,15,12,27,34,224,7,15,8,1,8,32,7,15,17,485
24,5,4,57,4,18,26,22,251,4,16,3,0,1,43,9,23,13,499
25,5,0,49,14,12,30,26,219,0,10,6,2,6,39,9,20,11,458
26,8,1,64,9,11,26,23,198,5,22,6,3,15,38,7,14,15,465
27,3,0,23,2,10,16,9,77,1,16,0,3,3,23,4,6,2,198
28,0,0,29,6,8,15,11,86,1,11,9,1,2,26,5,16,5,231
29,8,1,36,17,31,46,27,189,2,24,4,3,5,49,16,22,19,499
30,7,2,45,10,13,43,25,227,6,32,4,2,4,46,18,43,2,529
31,9,0,39,9,22,34,39,241,5,13,2,2,7,31,6,22,12,493
32,9,2,33,16,32,44,33,161,4,24,9,2,4,64,6,24,7,474
33,9,3,44,16,42,44,30,203,2,19,0,2,2,63,12,23,8,522
34,1,0,48,24,14,45,22,174,3,21,1,1,10,64,5,36,8,477
35,5,0,7,4,8,21,14,38,0,7,1,1,3,14,2,8,3,136
36,6,1,30,10,38,29,28,163,2,18,3,2,1,33,3,29,7,403
37,6,1,31,10,22,27,22,151,5,15,5,0,11,39,13,27,4,389
38,10,7,41,10,16,25,14,147,0,17,3,0,0,22,5,30,10,357
39,4,1,36,6,37,25,24,161,3,18,3,2,3,28,14,28,6,399
40,0,3,17,11,14,26,27,102,5,7,2,0,5,46,4,14,5,288
41,5,1,67,13,36,44,29,191,3,21,6,0,17,39,15,25,8,520
42,5,0,36,16,27,31,13,173,2,19,2,0,10,32,2,32,8,408
43,3,3,37,5,16,19,19,127,2,36,4,2,14,26,7,8,4,332
44,2,0,26,24,14,21,4,125,2,27,10,2,14,21,9,8,3,312
45,4,0,53,19,22,29,24,182,1,28,3,2,3,20,8,10,12,420
46,4,0,39,22,33,26,31,193,3,23,5,0,5,44,5,17,5,455
47,3,1,55,36,21,23,33,190,1,20,5,0,12,34,11,15,6,466
48,6,0,32,9,21,23,16,130,2,10,2,0,5,31,9,21,10,327
49,3,1,27,11,30,21,27,159,0,13,2,2,3,33,15,16,9,372
50,4,13,29,13,26,30,40,163,1,15,3,0,5,51,9,22,4,428
51,9,0,40,17,49,35,54,131,2,11,3,1,4,62,11,22,4,455
52,11,0,44,13,43,32,24,109,3,22,4,0,4,41,8,39,3,400
53,13,4,30,6,54,30,30,118,6,23,3,0,10,51,8,27,5,418
54,10,0,47,11,43,41,36,130,3,13,3,0,8,62,13,33,5,458
55,9,2,23,9,21,46,20,140,5,33,2,0,11,45,10,25,12,413
56,8,2,41,12,43,41,24,143,2,20,3,2,5,61,11,40,11,469
57,3,1,34,7,14,42,26,131,6,23,52,3,6,40,46,33,5,472
58,8,1,38,10,13,17,15,147,2,27,4,1,1,46,24,24,5,383
59,9,4,52,5,18,43,28,196,1,33,6,0,6,86,45,27,6,565
60,7,4,25,12,26,38,26,160,5,11,3,1,6,80,21,21,7,453
61,10,6,30,13,20,40,23,162,4,14,4,3,2,66,38,41,14,490
62,9,4,27,17,26,46,26,185,3,13,2,1,2,51,32,39,5,488
63,7,4,30,15,10,25,16,192,5,9,3,0,9,22,4,8,2,361
64,8,1,36,31,14,26,15,166,1,16,25,4,15,29,14,22,4,427
65,4,2,18,10,13,17,26,121,5,15,4,4,3,39,7,24,6,318
66,8,4,26,10,12,31,11,138,2,10,2,2,2,35,19,12,1,325
67,6,3,43,20,17,24,19,143,5,6,1,2,8,48,30,25,3,403
68,15,3,50,20,18,41,23,262,5,23,3,1,12,39,11,40,9,575
69,5,0,29,14,17,41,20,220,10,9,4,5,9,61,18,73,14,549
70,24,2,41,2,9,28,14,165,5,21,3,0,13,47,17,84,14,489
71,3,2,53,13,11,35,24,216,4,20,15,2,12,30,9,19,6,474
72,3,3,47,5,6,32,18,189,5,25,19,1,4,28,14,17,6,422
73,3,5,40,10,6,19,25,199,1,23,26,2,3,23,16,19,5,425
74,6,1,46,26,12,28,18,240,2,26,10,1,8,34,13,27,10,508
75,6,4,60,32,11,16,16,218,6,32,3,0,7,30,12,28,14,495
76,19,4,53,18,8,39,8,234,9,34,5,3,9,69,21,26,8,567
77,10,2,81,16,9,33,19,253,5,60,5,7,6,65,14,30,13,628
78,16,1,54,7,7,8,22,191,3,30,11,1,10,100,15,52,3,531
79,6,3,90,18,8,31,14,178,2,28,2,7,17,67,16,37,8,532
80,4,0,58,17,6,18,15,191,6,28,2,1,3,83,17,58,3,510
81,8,3,34,9,6,33,13,89,5,17,6,0,5,143,12,57,14,454
82,2,3,52,7,5,22,9,113,4,17,0,0,5,152,19,45,4,459
83,6,0,41,12,10,13,18,107,8,11,2,1,8,75,7,43,7,369
84,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
85,0,1,3,3,0,0,1,15,0,1,0,0,0,2,0,0,1,27
86,0,1,2,0,0,0,0,7,0,0,1,0,0,2,0,1,1,15
